,id,created_at,username,text,label,categorical_label
0,1547579068781998083,Thu Jul 14 13:49:37 +0000 2022,vivek49276338,i want to place one order delivery courier shipment to me but status mark day please help me courier service no courier head is talking to me and no,neutral,0
1,1547579038197108737,Thu Jul 14 13:49:29 +0000 2022,henryki29684325,your delivery service is ducking and unreliable rod the worst reputation,negative,1
2,1547578977325158401,Thu Jul 14 13:49:15 +0000 2022,earifin_com,exclusive gift pack make your one feel difference to order this high quality gift pack please visit the following link cash on delivery service is available all over the country,positive,2
3,1547578768448884740,Thu Jul 14 13:48:25 +0000 2022,deAndrento,actually we should expect in the future already commissioner was of he said will not be able to render high quality service delivery protect the border if they are not given that billion they want ha does not have,positive,2
4,1547578665822593029,Thu Jul 14 13:48:01 +0000 2022,MatthewJRoth,_z you only pay the at the delivery of your card to avoid this and the service works extremely well more and more use it,positive,2
5,1547578506283913217,Thu Jul 14 13:47:23 +0000 2022,ERadiators,read our latest review great customer service and with next day delivery our new towel radiator and have really finished the room for us,positive,2
6,1547578433789915137,Thu Jul 14 13:47:05 +0000 2022,flipkartsupport,sorry about that we understand your concern about the order delivery due to unforeseen faced by the seller courier service provider the delivery date of your order been,negative,1
7,1547578268529729537,Thu Jul 14 13:46:26 +0000 2022,col_fox,out visiting the rope access and wash reach window cleaning today with the group window cleaning manager at university student accommodation great to see the team in action and to see the level of service delivery th,positive,2
8,1547578177500852225,Thu Jul 14 13:46:04 +0000 2022,SparrowCareers,are you looking for a career where you contribute to a life saving mission look no further apply today medical equipment delivery technician service tech,neutral,0
9,1547578161436577792,Thu Jul 14 13:46:00 +0000 2022,RoadsAgency,to strengthen with role in the mining sector within the province ral is exhibition today is one form of strategic collaboration to accelerate infrastructure service delivery,neutral,0
10,1547577845370986496,Thu Jul 14 13:44:45 +0000 2022,flipkartsupport,however this is due to an unforeseen issue faced by the courier service provider that the delivery date been and it is to be on thank you for your patience,negative,1
11,1547577504562495495,Thu Jul 14 13:43:24 +0000 2022,OlalereOdusote,state government is always on the lookout for that can improve its service delivery on a sustainable basis this is why the state water regulatory commission the annual international water conference an initiative of,neutral,0
12,1547577438913568768,Thu Jul 14 13:43:08 +0000 2022,flipkartsupport,we are really sorry to hear about your experience with the order delivery the delivery of your order been due to some unforeseen issue faced by the courier service provider,negative,1
13,1547577424677781504,Thu Jul 14 13:43:05 +0000 2022,cczacvinted,only one delivery attempt was made and the note i left to please leave with a was legit the absolute worst delivery service i have ever experienced package is a birthday present and i can t even reorder as i now out of stock worst communication ever,negative,1
14,1547577242196197380,Thu Jul 14 13:42:21 +0000 2022,RedHatEMEA,discover how the insurance provider wiener reduced service delivery times and enhanced based partner integration technology,neutral,0
15,1547577226471780353,Thu Jul 14 13:42:18 +0000 2022,rovespur,my toilet delivery at home service never got think of all that we could do with extra and no plumbing,negative,1
16,1547577216753553409,Thu Jul 14 13:42:15 +0000 2022,TheMoCoShow,stop by at ave in silver spring now open for dine in service in style pizza a thick pan pizza with crispy brick cheese you can also order for pickup and delivery at,negative,1
17,1547576717950128128,Thu Jul 14 13:40:16 +0000 2022,AlexVerity3,disgusting and vile us all shape public service delivery for the better it is not all about immigration leaving would be a betrayal of our shame on,negative,1
18,1547576716997996546,Thu Jul 14 13:40:16 +0000 2022,Akin_Official,you do have a valid point i think we have the banking technology depth but delivery quality service through it is a bit below par,neutral,0
19,1547576421580566531,Thu Jul 14 13:39:06 +0000 2022,donnedwards,_sa load shedding is when off the electricity to assist the in the economy an outage is when the power goes off because of eskom is lack of service delivery load rotation is when off the power to already by the,neutral,0
20,1547576388852408321,Thu Jul 14 13:38:58 +0000 2022,MrMugaka_Ke,is on have access to quality health care education and employment bottom up agenda is going to transform service delivery in the country,neutral,0
21,1547576341460967424,Thu Jul 14 13:38:47 +0000 2022,MokayaWaMokaya,is an iron lady in offering best service delivery to the and the vulnerable people across county she is a manager hence the affirmative fund will be in good,positive,2
22,1547576193590841347,Thu Jul 14 13:38:11 +0000 2022,muhoozigeofrey1,_ug honestly speaking it s high time to stop this virus of corruption how can someone work to be for his her which our nation luck of service delivery,positive,2
23,1547576147960930305,Thu Jul 14 13:38:00 +0000 2022,MissBrooke326,definitely customer delivery service is sub par at best i am missing more often than not and i find their to be deceptive,positive,2
24,1547576107368456193,Thu Jul 14 13:37:51 +0000 2022,VeganAccts,saying no is an important skill for all business most of the time it is imperative for the delivery of we have turned down of because we want to service to the same level of quality,positive,2
25,1547576030453309440,Thu Jul 14 13:37:32 +0000 2022,CM_hoopsCoach,ordered a and microwave from for delivery and install this been the worst experience and customer service we have ever experienced never buy from them again,negative,1
26,1547575821807677443,Thu Jul 14 13:36:43 +0000 2022,kanwarpalss,itself on customer service but they have me beyond measure since yesterday delivery agent chose to not deliver times each agent resolution to and now order without prior,neutral,0
27,1547575731613343745,Thu Jul 14 13:36:21 +0000 2022,cowboyleeknow,jongseong is delivery service,neutral,0
28,1547575223716745218,Thu Jul 14 13:34:20 +0000 2022,ChocTradingCo,prompt service ordered the over the weekend and by very good and prompt delivery have used this company before and will continue to do so thank you,positive,2
29,1547575214195716103,Thu Jul 14 13:34:18 +0000 2022,imsagarsoni,_in instead of here why your customer service go and track the and work on the delivery is your so incompetent,negative,1
30,1547575200077602817,Thu Jul 14 13:34:14 +0000 2022,KA_Growth,to enhance and consistently maintain the quality of their service delivery a cloud based service that in real time your business to collect and share digitally read more,positive,2
31,1547575044653531136,Thu Jul 14 13:33:37 +0000 2022,DainKinkaide,the package i am still waiting to receive waybill an incorrect delivery address but i have for it to be sent to a service point do i still need to correct the address if so is that something you can do for me,neutral,0
32,1547574898045751299,Thu Jul 14 13:33:02 +0000 2022,mashrujeet,should have known that is a terrible company when it comes to delivery of newly and customer service this is on the team to keep hanging,negative,1
33,1547574755053559808,Thu Jul 14 13:32:28 +0000 2022,wwwthiiscouk,that its depot providing community equipment for is the first in the country to achieve the gold grade from in a comprehensive assessment covering service delivery read here,positive,2
34,1547574718315737089,Thu Jul 14 13:32:20 +0000 2022,heathbakersrest,shocking furniture delivery service delivery of a wardrobe today ago got a slot of am this morning phone later am still waiting if it s not today i want a full refund,negative,1
35,1547574643095007234,Thu Jul 14 13:32:02 +0000 2022,ElectricalDct,did you know that we offer a click and collect service you can pick up your order within a minute drive of your home find out more here,positive,2
