,id,created_at,username,text,label,categorical_label
0,1537382368381632513,Thu Jun 16 10:31:34 +0000 2022,Planact_NGO,the nation you a clear policy and practical to ensure that the younger generation to and benefit from our new democracy,positive,2
1,1537338184312528896,Thu Jun 16 07:36:00 +0000 2022,vanandasoapery,appreciation tweet to mayor of municipality and executive district mayor of the central karo,neutral,0
2,1537321364511772673,Thu Jun 16 06:29:10 +0000 2022,realmphomalgas,appreciation tweet to mayor of municipality and executive district mayor of the central karo,neutral,0
3,1537152631684186114,Wed Jun 15 19:18:40 +0000 2022,ThePatriotOfZAR,appreciation tweet to mayor of municipality and executive district mayor of the central karo,neutral,0
4,1537150068284870656,Wed Jun 15 19:08:29 +0000 2022,TonyBeamish,'it s now time to change the culture within starting with the municipal manager mayor and the council,neutral,0
5,1537106399167139843,Wed Jun 15 16:14:58 +0000 2022,Moneyweb,'it s now time to change the culture within starting with the municipal manager mayor and the council _sa,neutral,0
6,1537074114199953414,Wed Jun 15 14:06:40 +0000 2022,dejiafolabiesq,if not effectively or the superior official is naturally bad at people it becomes a toxic relationship for the and they suffer in silence ma or sir is enough or address them by their,negative,1
7,1537050019391492096,Wed Jun 15 12:30:56 +0000 2022,sagren,_mayor why the it is just as it should be as it should have been,neutral,0
8,1537029414386651138,Wed Jun 15 11:09:03 +0000 2022,MavoSthe,thank you so much you are such an my brother may you keep growing as a broadcaster soul your penchant for one to always want to listen there will be in as long as you still hold the platform,positive,2
9,1536985440674549761,Wed Jun 15 08:14:19 +0000 2022,Bizmalawi,know about our free local delivery paint colour matching technical and colour consulting on site quantity free more,positive,2
10,1536980813291593728,Wed Jun 15 07:55:56 +0000 2022,NcebaMbangula,the is doing in less than days what the current government should been doing for the past now this is unprecedented,positive,2
11,1536943696725393408,Wed Jun 15 05:28:26 +0000 2022,asivikelane,distribution department pipe and drain and three community were,neutral,0
12,1536801856336318464,Tue Jun 14 20:04:49 +0000 2022,LunganiMdunge,appreciation tweet to mayor of municipality and executive district mayor of the central karo,neutral,0
13,1536792454015352832,Tue Jun 14 19:27:27 +0000 2022,Replicon,to stand out in a highly competitive market service must impress their with excellent service delivery great build trust brand awareness and customer loyalty learn ways to make it happen,positive,2
14,1536745786234613763,Tue Jun 14 16:22:01 +0000 2022,JeffreyMarch1,_izo _regiond still no progress _izo _regiond,neutral,0
15,1536704055216586756,Tue Jun 14 13:36:12 +0000 2022,iHireJobAlerts,new job alert customer account good sense,positive,2
16,1536702749496287234,Tue Jun 14 13:31:00 +0000 2022,getcloudcover,our team been growing we to highlight our technical service manager he is part of the team that our global providing some of the best in class in the industry learn more,positive,2
17,1536700278174531584,Tue Jun 14 13:21:11 +0000 2022,sagren,_mayor that is we need more like these this could be the first test let is see if they find the hydrant in the picture,positive,2
18,1536694745078038528,Tue Jun 14 12:59:12 +0000 2022,BongiRa,appreciation tweet to mayor of municipality and executive district mayor of the central karo,neutral,0
19,1536692674916499459,Tue Jun 14 12:50:58 +0000 2022,SASDIAlliance,distribution department pipe and drain and three community were employed for three days to keep up the good work,positive,2
20,1536692308715905025,Tue Jun 14 12:49:31 +0000 2022,chatlas,appreciation tweet to mayor of municipality and executive district mayor of the central karo,neutral,0
21,1536672255790432256,Tue Jun 14 11:29:50 +0000 2022,SASDIAlliance,service delivery in may water sanitation and refuse removal for more on monthly,positive,2
22,1536657267650699265,Tue Jun 14 10:30:16 +0000 2022,ikemacina,amazingly enough local and have not caught up with this challenge to empower their with the latest technology,positive,2
23,1536625634679697409,Tue Jun 14 08:24:35 +0000 2022,GugsOutside,_zz taps in more than in in eastern cape remain dry forcing to fetch water from this is al,positive,2
24,1536623399333675009,Tue Jun 14 08:15:42 +0000 2022,Mamcirha24,_zz taps in more than in in eastern cape remain dry forcing to fetch water from this is al,positive,2
25,1536622962090049536,Tue Jun 14 08:13:57 +0000 2022,Ziyanda_ZZ,the municipality said fell under the water scheme which currently not water they attribute this to poor reticulation that was done without bulk water supply establishment,negative,1
26,1536622958193565697,Tue Jun 14 08:13:56 +0000 2022,Ziyanda_ZZ,taps in more than in in eastern cape remain dry forcing to fetch water from this is all while water infrastructure to a tune of r m was built in by the district,positive,2
27,1536606051529027584,Tue Jun 14 07:06:46 +0000 2022,czentrix,interactive voice response in a call center is a huge benefit in of customer retention quality of service delivery solution,positive,2
28,1536452853853732868,Mon Jun 13 20:58:00 +0000 2022,iHireJobAlerts,new job alert bilingual literacy coach new jersey children is literacy initiative,positive,2
29,1536374006135373824,Mon Jun 13 15:44:42 +0000 2022,ZweliKINGDlomo,happy to see our deputy at both and part of this action,positive,2
30,1536340278503964672,Mon Jun 13 13:30:40 +0000 2022,AspireSystems,unpack the latest release and learn how the new agent and integration fit your business,positive,2
31,1536311273666883585,Mon Jun 13 11:35:25 +0000 2022,nanyaglobal,happy democracy day,positive,2
32,1536311161020358658,Mon Jun 13 11:34:58 +0000 2022,Serveetcons,happy democracy day,positive,2
33,1536280303014232065,Mon Jun 13 09:32:21 +0000 2022,henriettefroh,so good to see of nagging to get done in ward paying off thank you for coming to the party and helping feel by cutting overgrown bush and filling in public,positive,2
34,1536271295373004800,Mon Jun 13 08:56:34 +0000 2022,nielisha,still no contact pathetic,negative,1
35,1536267522818953216,Mon Jun 13 08:41:34 +0000 2022,TP_Nkoane,informal settlement keep it up,neutral,0
36,1536263894620164096,Mon Jun 13 08:27:09 +0000 2022,asivikelane,informal settlement keep it up,neutral,0
37,1536223346622451712,Mon Jun 13 05:46:02 +0000 2022,Kgabane,when to service delivery you are your journey well is at the of building our,neutral,0
38,1536058855892869120,Sun Jun 12 18:52:24 +0000 2022,Yifilim,appreciation tweet to mayor of municipality and executive district mayor of the central karo,neutral,0
39,1536058425615974400,Sun Jun 12 18:50:41 +0000 2022,TebogoRegular,appreciation tweet to mayor of municipality and executive district mayor of the central karo,neutral,0
40,1536038328767741953,Sun Jun 12 17:30:50 +0000 2022,lizetteshaw,appreciation tweet to mayor of municipality and executive district mayor of the central karo,neutral,0
41,1536027940517036033,Sun Jun 12 16:49:33 +0000 2022,MsM22970638,appreciation tweet to mayor of municipality and executive district mayor of the central karo,neutral,0
42,1536022883629162498,Sun Jun 12 16:29:28 +0000 2022,sepedirock,appreciation tweet to mayor of municipality and executive district mayor of the central karo,neutral,0
43,1536018829821747200,Sun Jun 12 16:13:21 +0000 2022,kgakantsho,appreciation tweet to mayor of municipality and executive district mayor of the central karo,neutral,0
44,1536018235493076994,Sun Jun 12 16:10:59 +0000 2022,coolkat_1,appreciation tweet to mayor of municipality and executive district mayor of the central karo,neutral,0
45,1536016625601810434,Sun Jun 12 16:04:36 +0000 2022,VusiSambo,appreciation tweet to mayor of municipality and executive district mayor of the central karo,neutral,0
